Country Name,Country Code_x,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,Unnamed: 6,Indicator name:,Country Code_y,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,World Development Indicators
Japan,JPN,8.234,0.187348513,,,,,JPN,Total fisheries production (metric tons),ER.FSH.PROD.MT,4364069.77,4299760.7,4415827.01,4206676.31,4266442.05,4213918.69,3910316.4,,,
Kazakhstan,KAZ,1.049,0.001327265,,,,,KAZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,43212.54,44095.99,42936.41,52577.69,49401.94,46895.72,52130.25,,,
Kenya,KEN,0.804,0.026443196,,,,,KEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,150416.19,167987.14,153140.52,151000.83,154928.36,169726.9,174699.47,,,
Cambodia,KHM,0.186,0.113634275,,,,,KHM,Total fisheries production (metric tons),ER.FSH.PROD.MT,802450.0,856320.0,910155.01,908508.01,936300.0,856399.99,864050.0,,,
Kiribati,KIR,11.818,0.0,,,,,KIR,Total fisheries production (metric tons),ER.FSH.PROD.MT,174275.0,162701.0,197902.53,238700.32,212752.3,191130.54,203296.05,,,
Kuwait,KWT,1.364,0.000714681,,,,,KWT,Total fisheries production (metric tons),ER.FSH.PROD.MT,5393.16,4183.0,3078.65,3483.84,3557.0,3987.0,2350.0,,,
Lebanon,LBN,0.211,0.069834541,,,,,LBN,Total fisheries production (metric tons),ER.FSH.PROD.MT,5326.0,4652.0,3736.0,3559.8,3388.0,3516.0,3558.0,,,
Liberia,LBR,0.103,0.269332631,,,,,LBR,Total fisheries production (metric tons),ER.FSH.PROD.MT,14063.1,12489.1,14807.29,16989.03,32691.68,26319.14,30712.99,,,
Libya,LBY,0.636,0.089743511,,,,,LBY,Total fisheries production (metric tons),ER.FSH.PROD.MT,29929.39,31883.99,32154.06,32345.0,31813.55,31961.33,32595.0,,,
Sri Lanka,LKA,0.075,0.985647164,,,,,LKA,Total fisheries production (metric tons),ER.FSH.PROD.MT,517399.6,501656.63,510201.19,505801.79,424605.7,423428.76,391702.99,,,
Lesotho,LSO,9.79,0.0,,,,,LSO,Total fisheries production (metric tons),ER.FSH.PROD.MT,1102.0,1853.0,2552.46,2607.0,2668.0,1576.3,1915.26,,,
Lithuania,LTU,25.592,0.000714681,,,,,LTU,Total fisheries production (metric tons),ER.FSH.PROD.MT,111337.74,93519.07,78763.68,106434.56,95468.76,101287.83,111781.16,,,
Latvia,LVA,16.037,0.000918876,,,,,LVA,Total fisheries production (metric tons),ER.FSH.PROD.MT,115066.09,70219.54,73973.66,71993.64,65706.45,62559.51,62377.91,,,
Morocco,MAR,0.26,0.183775108,,,,,MAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1473464.52,1403400.81,1387814.9,1477511.76,1399150.69,1434205.43,1592954.21,,,
Monaco,MCO,99.755,0.0,,,,,MCO,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,
Madagascar,MDG,0.746,0.079125394,,,,,MDG,Total fisheries production (metric tons),ER.FSH.PROD.MT,168336.16,189951.38,142361.72,128287.67,126108.29,130738.1,152317.69,,,
Maldives,MDV,0.052,0.0,,,,,MDV,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,
Mexico,MEX,21.553,0.358565656,,,,,MEX,Total fisheries production (metric tons),ER.FSH.PROD.MT,1745794.79,1880687.83,1946512.63,1874459.54,1940137.58,1912067.74,1972994.33,,,
Marshall Islands,MHL,0.269,0.0,,,,,MHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,65219.0,70302.0,78354.37,101556.23,88199.58,95821.19,91642.64,,,
Malta,MLT,7.445,0.0,,,,,MLT,Total fisheries production (metric tons),ER.FSH.PROD.MT,17218.19,17884.32,22023.22,16315.55,21932.76,18913.13,20859.75,,,
Myanmar,MMR,0.478,0.259735486,,,,,MMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,3090004.34,3204132.01,3168439.45,3033318.64,3122143.0,2833096.69,3061808.0,,,
Montenegro,MNE,0.14,0.0,,,,,MNE,Total fisheries production (metric tons),ER.FSH.PROD.MT,2524.0,2101.7,2389.8,2350.0,1701.45,1666.0,1942.0,,,
Mozambique,MOZ,2.232,0.259735486,,,,,MOZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,300914.88,331356.79,352052.16,403590.35,391089.02,413390.04,461913.54,,,
Mauritania,MRT,4.153,0.012966355,,,,,MRT,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,
Mauritius,MUS,0.004,0.0,,,,,MUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,19236.69,26240.36,31411.08,37327.49,29287.69,32344.82,34829.49,,,
Malaysia,MYS,1.544,7.463107147,,,,,MYS,Total fisheries production (metric tons),ER.FSH.PROD.MT,1992258.1,1901885.53,1855008.87,1877376.18,1791561.76,1755709.06,1892540.81,,,
