Regions,SubRegions,Measurement,Density Range,Density Class,Latitude,Longitude,Date
Mediterranean Sea,Western Basin,0.066667,0.005-1,Medium,42.377821,3.158952,2/19/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.124809,0.005-1,Medium,37.098667,15.329833,9/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.821333,01-Oct,High,41.397303,2.21315,03-11-2021 00:00
Mediterranean Sea,Adriatic Sea,0.308071,0.005-1,Medium,41.996167,15.7655,6/30/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,1.429333,01-Oct,High,41.403637,2.2193,1/24/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.188548,0.005-1,Medium,43.7995,14.554833,6/27/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.626766,0.005-1,Medium,38.5025,15.721833,7/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,12.002667,>=10,Very High,41.403637,2.2193,04-11-2021 00:00
Mediterranean Sea,Balearic Sea,2.601333,01-Oct,High,41.379079,2.194423,1/17/2021 12:00:00 AM
Mediterranean Sea,Western Basin,1.69382,01-Oct,High,43.158667,5.296167,09-10-2021 00:00
Mediterranean Sea,Balearic Sea,0.56,0.005-1,Medium,41.175724,1.526081,03-05-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.347309,0.005-1,Medium,38.385167,15.223667,9/24/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,2.019273,01-Oct,High,38.3725,15.758167,9/23/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,2.388667,01-Oct,High,41.397303,2.21315,2/20/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.670667,0.005-1,Medium,41.389383,2.203525,1/29/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.244216,0.005-1,Medium,44.715667,13.725333,6/27/2021 12:00:00 AM
Mediterranean Sea,Eastern Basin,1.632864,01-Oct,High,37.109833,13.5065,9/21/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.393604,0.005-1,Medium,36.929167,15.3425,7/22/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.195333,0.005-1,Medium,41.373055,2.191604,3/13/2021 12:00:00 AM
Mediterranean Sea,Tyrrhenian Sea,0.659117,0.005-1,Medium,39.208333,11.8425,07-12-2021 00:00
Mediterranean Sea,Tyrrhenian Sea,0.274223,0.005-1,Medium,43.024333,10.410667,7/15/2021 12:00:00 AM
Mediterranean Sea,Adriatic Sea,0.365369,0.005-1,Medium,40.221389,18.566667,6/28/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.276,0.005-1,Medium,41.263153,1.963507,1/16/2021 12:00:00 AM
Mediterranean Sea,Ionian Sea,0.014728,0.005-1,Medium,36.896,15.2445,6/25/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.158,0.005-1,Medium,42.377821,3.158952,03-05-2021 00:00
Mediterranean Sea,Balearic Sea,0.371333,0.005-1,Medium,41.575135,2.553135,1/30/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,18.319333,>=10,Very High,40.910469,0.833376,4/29/2021 12:00:00 AM
Mediterranean Sea,Balearic Sea,0.635333,0.005-1,Medium,41.379079,2.194423,04-09-2021 00:00
Mediterranean Sea,Balearic Sea,5.009333,01-Oct,High,41.397303,2.21315,5/22/2021 12:00:00 AM
Mediterranean Sea,Western Basin,0.702357,0.005-1,Medium,38.888833,8.561833,9/16/2021 12:00:00 AM
