Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
10/08/2011,Mackay,Unknown,Unknown,Port,"Sand Bay, south of Cape Hillsborough and Belmunda areas",Lubricating ,Unknown
14/08/2011,Townsville,Ship,Commercial,Port,"Augustus Creek, Nelly Bay, Magnetic Island, Townsville",Diesel ,600
16/08/2011,Gladstone,Ship,Commercial,Port,"North Passage Island, Gladstone",Engine ,10
16/08/2011,Mackay,Ship,Recreational,Port,"Wharf at Pioneer River, Mackay",Diesel ,Unknown
19/08/2011,Cairns,Unknown,Trading,Coastal Waters,"10 nautical miles south of Urqhardt Point, Weipa",HFO,Unknown
7/09/2011,Cairns,Unknown,Unknown,Port,Endeovour River Cooktown Harbour,Diesel,Unknown
12/09/2011,Mackay,Ship,Commercial,Port,Hay Point Berth 1 (Dredge Site),Hydraulic ,2
29/09/2011,Brisbane,Land,N/A,Port,"Eagle St Pier to Stanford Hotel, Town Reach Brisbane River",Diesel,Unknown
30/09/2011,Gladstone,Ship,Commercial,Port,Burnett River Bundaberg,Diesel,Unknown
10/10/2011,Townsville,Ship,Fishing,Port,"Ross Haven Marina, Ross River Townsville",Bilge,Unknown
14/10/2011,Cairns ,Land,N/A,Coastal Waters,Evans Landing Wharf Weipa,Hydraulic ,Unknown
14/10/2011,Gladstone,Ship,Commercial,Port,North Passage Isl Up stream of Fishermans Landing,Hydraulic ,200
23/10/2011,Cairns,Ship,Commercial,Coastal Waters,Vacinity of Howick Island Group (FNQ),Diesel,400
28/10/2011,Brisbane,Ship,Commercial,Port,Scarborough Marina (Morgans Seafood),Bilge,Unknown
31/10/2011,Gladstone,Land,N/A,Port,GLNG MOF Pioneer Barge Ramp south of China Bay Curtis Island,Coolant,50
2/11/2011,Gladstone,Land,N/A,Port,GLNG MOF south of China Bay Curtis Island,Hydraulic ,Unknown
21/11/2011,Gladstone,Ship,Commercial,Port,"North Passage, China Bay",Hydraulic ,50
23/11/2011,Brisbane,Unknown,Unknown,Port,"28 Anchorage Drive, Cleveland (canal behind residence)",Sheen,Unknown
28/11/2011,Mackay,Ship,Fishing,Port,"Pioneer River, Mackay (Fish supplies Jetty)",Diesel,Unknown
4/12/2011,Brisbane,Ship,Commercial,Port,"Brisbane Roads Anchorage, Moreton Bay",Diesel,2
7/12/2011,Brisbane ,Ship,Commercial,Port,"Cairnscross Wharf, Brisbane River",Diesel,20
8/12/2011,Mackay,Ship,Commercial,Port,Mackay Harbour - Southern end of Sugar Wharf,Diesel,1
9/12/2011,Brisbane,Unknown,Unknown,Port,"Pelican Slipway, Moreton Bay",Sheen,Unknown
12/12/2011,Gladstone,Ship,Commercial,Port,North Passage Island Channel,Hydraulic ,10
20/12/2011,Townsville,Ship,Recreational,Port,Ross Creek Boat Ramp pontoon,Sheen,3
22/12/2011,Mackay,Ship,Commercial,Coastal Waters,"East Dimond Inlet, Mackay",Sheen,Unknown
25/12/2011,Gladstone,Ship,Commercial,Port,Curtis Island side of Passage Island Channel - adjacent to North Passage Island,Hydraulic,10
19/01/2012,Mackay,Ship,Commercial,Port,Hay Point Expansion ,Hydraulic ,1
23/01/2012,Brisbane,Ship,Trading,Port,"Hamilton berth 4, Brisbane River",HFO,3000
6/02/2012,Mackay,Land,N/A,Port,Tug Harbour Hay Point,Sheen,Unknown
15/02/2012,Mackay,Ship,Commercial,Port,"Lease D, Hay Point",Hydraulic,1
1/03/2012,Gladstone,Ship,Recreational,Port,"Boat Club Marina, Urangan Boat Harbout, Hervey Bay",Diesel,Unknown
5/03/2012,Mackay,Ship,Commercial,Port,"Hay Point Expansion, HPE3",Sheen,2
9/03/2012,Mackay,Ship,Commercial,Port,Hay Point Expansion Zone.,Sheen,Unknown
14/03/2012,Gold Coast,Ship,Recreational,Port,Horizon Shores Marina Gold Coast,Diesel,Unknown
23/03/2012,Cairns,Unknown,Unknown,Port,Tropical Reef slipway. Past Cairns slipway . Smiths Creek,Diesel,Unknown
28/03/2012,Gladstone,Ship,Recreational,Port,Curtis Island side of Passage Island Channel - adjacent to North Passage Island,Hydraulic,Unknown
8/04/2012,Townsville,Ship,Commercial,Port,Berth 4 at Bulk Sugar Wharf Townsville,Diesel,2000
17/04/2012,Brisbane,Ship,Commercial,Port,Mooloolah River Mouth,Hydraulic,1
18/04/2012,Brisbane,Ship,Commercial,Port,"Maritime Solutions Slipway, Hamilton Reach, Brisbane River",Hydraulic ,4
24/04/2012,Brisbane,Unknown,Unknown,Port,"Seen from Aircraft, East of Redcliffe",Unknown,Unknown
30/04/2012,Gladstone,Ship,Commercial,Port,"Jacobs Channel, Curtis Island",Sheen,Unknown
30/04/2012,Mackay,Ship,Commercial,Port,Hay Point Expansion HPX3,Hydraulic ,15
3/05/2012,Brisbane,Land,N/A,Port,"Shell Service Station, 94 Breakfast Creek Road, Newstead", Petrol,2500
10/05/2012,Mackay,Unknown,Unknown,Port,Hay Point Half Tide Tug Harbour,Paint,1
15/05/2012,Townsville,Ship,Fishing,Port,Anchorage off Dalrymple Bay Bowen,Diesel,Unknown
24/05/2012,Gladstone,Ship,Commercial,Port,Curtis Island QCLNG Project: Off Load facility,Hydraulic ,2
2/06/2012,Gladstone,Ship,Commercial,Port,Curtis Island GLNG Marine Offload Facility,Hydraulic ,20
3/06/2012,Gladstone,Ship,Commercial,Port,RG Tanna Loadout Facility,Diesel,1
6/06/2012,Cairns,Ship,Commercial,Coastal Waters,Fitzroy Island Wharf,Diesel,100
13/06/2012,Gladstone,Ship,Commercial,Port,South China Bay,Hydraulic ,Unknown
29/06/2012,Townsville,Land,N/A,Port,BP bitumen plant Townsville Port,Heating ,3000
8/07/2012,Gladstone,Ship,Recreational,Port limits,Great Sandy Strait Marina Urangan,Bilge,2
10/07/2012,Brisbane,Unknown,Unknown,Coastal waters,Wurtulla beach Caloundra,HFO,Unknown
12/07/2012,Brisbane,Unknown,Unknown,Port limits,Aquarium Passage - Doboy Creek - Brisbane River,Diesel,20
12/07/2012,Townsville,Land,Unknown,Coastal waters,Lucinda Wharf,Diesel,5
14/07/2012,Gladstone,Unknown,Unknown,Port Limits,Fishermans Landing,Diesel,100
18/07/2012,Brisbane,Unknown,Unknown,Coastal waters,Scarborough Marina,Diesel,Unknown
21/07/2012,Gladstone,Unknown,Unknown,Coastal waters,Roslyn Bay Boat Harbour Entrance,Carbon from diesel engine,Unknown
23/07/2012,Hay Point,Ship,Commercial,Coastal waters,Hay Point Tug Harbour,Hydraulic Fluid,2
23/07/2012,Townsville,Unknown,Unknown,Coastal waters,"Enterprise Channel, Dungerness, Lucina",Diesel,50
27/07/2012,Townsville,Unknown,Unknown,Port limits,Ross Creek,Diesel,Unknown
2/08/2012,Gladstone,Ship,Commercial,Port limits,Behind Clinton wharf,Hydraulic Fluid,2
4/08/2012,Townsville,Unknown,Unknown,Port limits,Ross Creek near Townsville Yacht Club Marina,Diesel,Unknown
5/08/2012,Gladstone,Ship,Commercial,Port limits,North Passage Isl Gladstone Harbour,Hydraulic Fluid,5
13/08/2012,Gladstone,Ship,Commercial,Port limits,Middle Bank Quoin Anchorage,N/A,Unknown
14/08/2012,Brisbane,Unknown,Unknown,Coastal waters,Scarborough Marina,Diesel,20
17/08/2012,Cairns,Unknown,Unknown,Coastal waters,Weipa Anchorage area,HFO,Unknown
19/08/2012,Brisbane,Land,Unknown,Port limits,Brisbane River Hamilton wharfs,Palm acid oil,3000
21/08/2012,Brisbane,Unknown,Unknown,Coastal waters,Manly Boat Harbour,Sheen,Unknown
4/09/2012,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Bilge,10
5/09/2012,Brisbane,Ship,Commercial,Port limits,Fisherman Island berth 9,Sheen,Unknown
11/09/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,2
16/09/2012,Mackay,Ship,Trading Ship,Port limits,Hay Point berth 3,Hydraulic Fluid,2
17/09/2012,Mackay,Ship,Commercial,Port limits,Mackay Boat Harbour,Diesel,1
1/10/2012,Gladstone,Unknown,Unknown,Coastal waters,Snapper Creek Tin Can Bay,Bilge,Unknown
5/10/2012,Mackay,Ship,Commercial,Coastal waters,Shute Harbour,Diesel,5
5/10/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,5
13/10/2012,Cairns,Ship,Commercial,Port limits,Trinity Wharf,Diesel,100
14/10/2012,Gladstone,Ship,Commercial,Port limits,Clinton Wharf,Hydraulic Fluid,10
15/10/2012,Gladstone,Land,N/A,Port limits,GLNG MOF Gladstone Harbour,sodium Hypochlorite,100
15/10/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,5
19/10/2012,Cairns,Unknown,Unknown,Port limits,Cairns fishman's base Smiths Creek,Bilge,20
19/10/2012,Mackay,Ship,Commercial,Coastal waters,Hay Point berth 3,Hydraulic Fluid,1
20/10/2012,Townsville,Ship,Commercial,Port limits,Berth 9,Sulphur,2000
22/10/2012,Gladstone,Ship,Commercial,Port limits,Sth Passage Island,Sewage & grey water,1500
24/10/2012,Brisbane,Ship,Recreational,Coastal waters,Raby bay,Unknown,Unknown
27/10/2012,Cairns,Ship,Unknown,Coastal waters,Gallon Reef,Unknown,Unknown
30/10/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,50
30/10/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Unknown,1
1/11/2012,Brisbane,Land,N/A,Coastal waters,Jabiru canal Newport,Sheen,Unknown
2/11/2012,Townsville,Ship,Commercial,Port limits,Berth 10 Townsville Harbour,Hydraulic Fluid,2
3/11/2012,Brisbane,Land,Unknown,Coastal waters,Tripcony Creek Golden Beach,Unknown,Unknown
9/11/2012,Brisbane,Ship,Recreational,Coastal waters,East Coast Marina Manly,Diesel,200
10/11/2012,Gladstone,Ship,Fishing,Port limits,Fishermans finger Gladstone Harbour,Diesel,30
12/11/2012,Mackay,Ship,N/A,Coastal waters,Black Island,Engine oil,10
21/11/2012,Cairns,Ship,Recreational,Coastal waters,Johnstone River Innisfail,Diesel,Unknown
22/11/2012,Gladstone,Unknown,Unknown,Port limits,Snapper Creek Tin Can Bay,Sheen,5
24/11/2012,Gladstone,Ship,Commercial,Port limits,China bay Curtis Island,Hydraulic Fluid,1
26/11/2012,Gladstone,Ship,Commercial,GBRMP,22Nm north of Sandy Cape,Ground food waste 1890 Kg,Unknown
1/12/2012,Mackay,Ship,Recreational,Port limits,Mackay Marina ,Diesel,20
15/12/2012,Townsville,Ship,Commercial,Port limits,Horseshoe Bay Magnetic Island,Hydraulic Fluid,10
16/12/2012,Cairns,Ship,N/A,Coastal waters,1Nm w Scardon River,Diesel,Unknown
1/01/2013,Brisbane,Unknown,N/A,Coastal waters,Mooloolah River Fisheries wharf,Diesel,Unknown
2/01/2013,Gladstone,Unknown,N/A,GBRMP,East of Bunker group,Sheen,Unknown
2/01/2013,Townsville,Ship,Recreational,Port limits,Townsville Breakwater anchorage,Sheen,Unknown
14/01/2013,Brisbane,Ship,Recreational,Coastal waters,"Dockside Marina, Brisbane River",Diesel,Unknown
17/01/2013,Cairns,Ship,Commercial,Port limits,"Trinity, Inlet Cairns",Diesel,20
22/01/2013,Cairns,Ship,Unknown,Port limits,"Marlin Marina, Cairns",Diesel,20
4/02/2013,Townsville,Unknown,N/A,Coastal waters,"Nelly Bay, Magnetic Island",Diesel,10
12/02/2013,Mackay,Ship,Commercial,Port limits,Hay Point,Hydraulic Fluid,0.5
21/02/2013,Cairns,Unknown,N/A,Port limits,"Smiths Creek, Cairns",Sheen,Unknown
21/02/2013,Cairns,Unknown,N/A,Port limits,"Smiths Creek, Cairns",Sheen,
22/02/2013,Mackay,Ship,Recreational,Coastal waters,Abel Point Marina,Diesel,15
24/02/2013,Gladstone,Land,N/A,Coastal waters,Rosslyn Bay Boat Harbour,Diesel,15
28/02/2013,Townsville,Ship,Commercial,Port limits,Townsville BERTH 10,Hydraulic Fluid,3
11/03/2013,Cairns,Land,N/A,Port limits,"Thursday Island, storm drain",Cooking oil,5
11/03/2013,Gladstone,Ship,Fishing,Coastal waters,Three Rocks south of Cape Manifold,Diesel,Unknown
14/03/2013,Cairns,Ship,Fishing,Port limits,"Trinity Inlet, Cairns",Hydraulic Fluid,1
14/03/2013,Gladstone,Land,N/A,Port limits,Gladstone Curtis LNG,Hydraulic Fluid,25
15/03/2013,Cairns,Ship,Commercial,Port limits,"Trinity Inlet, Cairns",Chemical (AFLCO),10
22/03/2013,Gladstone,Unknown,Unknown,Coastal waters,"Ross Creek, Yeppoon",Diesel,10
4/04/2013,Townsville,Ship,Commercial,Port limits,"Townsville Port, Berth 8",Hydraulic Fluid,5
6/04/2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,3
10/04/2013,Gladstone,Ship,Recreational,Port limits,Tin Can Bay Marina,Diesel,0.3
11/04/2013,Cairns,Ship,Trading Ship,Port limits,"Trinity Inlet, Cairns",Hydraulic Fluid,1
11/04/2013,Gladstone,Land,N/A,Port limits,Curtis LNG,Hydraulic Fluid,1
18/04/2013,Gladstone,Land,N/A,Port limits,Curtis LNG,Hydraulic Fluid,0.1
27/04/2013,Brisbane,Ship,Commercial,Port limits,Brisbane Cruise Ship Terminal,Hydraulic Fluid,0.1
4/05/2013,Townsville,Ship,Commercial,Port limits,Port of Townsville ,Hydraulic Fluid,1
12/05/2013,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Diesel,0.3
14/05/2013,Gladstone,Ship,Commercial,Port limits,Gladstone Harbour,Hydraulic Fluid,0.1
23/05/2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Diesel,10
28/05/2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,0.5
3/06/2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,30
4/06/2013,Townsville,Ship,Commercial,Port limits,Townsville Port,Hydraulic Fluid,10
6/06/2013,Gladstone,Ship,Fishing,GBRMP,Lady Elliot Island,Diesel,Unknown
7/06/2013,Brisbane,Ship,Unknown,Coastal waters,"Rainbow Channel, Moreton Bay",Diesel,Unknown
10/06/2013,Gladstone,Land,N/A,Port limits,Curtis GLNG Project,Lanolin,1
10/06/2013,Townsville,Ship,Recreational,GBRMP,Magnetic Island Marina,Diesel,Unknown
18/06/2013,Cairns,Ship,Recreational,Coastal waters,"Meriden Marina and Dickson Inlet, Port Douglas",Diesel,Unknown
20/06/2013,Gladstone,Ship,Commercial,Port limits,Passage Island Channel Gladstone Harbour,Diesel,
20/06/2013,Gladstone,Ship,Commercial,Port limits,Wiggins Island Coal Terminal,Hydraulic Fluid,1
20/06/2013,Gladstone,Ship,Commercial,Port limits,Passage Island Channel Gladstone Harbour,Diesel,Unknown
21/06/2013,Cairns,Ship,Commercial,GBRMP,Frankland Islands,Diesel,50
30/06/2013,Brisbane,Land,N/A,Coastal waters,"Cabbage Tree Creek, Moreton bay",Diesel,Unknown
30/06/2013,Cairns,Unknown,N/A,Port limits,Cairns Cruising Yacht Club,Paint,Unknown
1/07/2013,Gladstone,Unknown,N/A,Port Limits,Gladstone Marina,Diesel,20
1/07/2013,Gladstone,Ship,Commercial,Port Limits,"QC4 Curtis Island, Offloading Ramp, Gladstone",Other (Hydraulic Oil),10
6/07/2013,Gladstone,Land,N/A,Port Limits,"Wiggins Island Coal Terminal, Gladstone",Sheen,Unknown
12/07/2013,Townsville,Unknown,N/A,Port Limits,"Ross Creek Berth 10, Townsville",Diesel,10
20/07/2013,Gladstone,Ship,Commercial,Port Limits,"Boyne Smelter Whalf, Gladstone Harbour, Gladstone",Other (Calcined Petroleum Coke),Unknown
22/07/2013,Townsville,Ship,N/A,Port Limits,"Harbour Marine Precinct, Townsville",Diesel,20
23/07/2013,Mackay,Ship,Recreational,Coastal Waters,"Airlie Beach Marina, Airlie Beach",Sheen,Unknown
25/07/2013,Brisbane,Unknown,N/A,Coastal Waters,Manly Boat Harbour,Diesel,10
26/07/2013,Brisbane,Ship,Fishing,Port Limits,"Raptis Fish Market, Brisbane River",Sheen,Unknown
28/07/2013,Brisbane,Unknown,N/A,Port Limits,"Fisherman Islands 11 and 12, Brisbane River",Other,Unknown
29/07/2013,Townsville,Ship,Commercial,Coastal Waters,"Boat Ramp, Palm Island",Other (Hydraulic Oil),3
2/08/2013,Gladstone,Ship,Recreational,Port Limits,"Urangan Harbour, Great Sandy Strait Marina, Hervey Bay",Sheen,Unknown
4/08/2013,Cairns,Unknown,N/A,Port Limits,"Marlin Marina, Cairns",Diesel,10
10/08/2013,Gladstone,Ship,Commercial,Port Limits,"Passage Island Channel, Gladstone",Other (Hydraulic Oil),10
8/09/2013,Cairns,Land,N/A,Port Limits,"Main Wharf, Thursday Island",Diesel,20
27/09/2013,Brisbane,Land,N/A,Coastal Waters,"Upstream end of Hamilton Reach, Brisbane River",Diesel,Unknown
27/09/2013,Gladstone,Ship,Recreational,Coastal Waters,"South Break wall, Rosslyn Bay Boat Ramp",Diesel,Unknown
27/09/2013,Gladstone,Unknown,N/A,Port Limits,"Sandy Strait Marina, Harvey Bay",Other,Unknown
3/10/2013,Cairns,Ship,Commercial,Coastal Waters,4 N/M SSE of cape Tribulation,Diesel,14000
11/10/2013,Brisbane,Unknown,Unknown,Coastal Waters,"Albatross Canal, Scarbourgh",Sheen,Unknown
19/10/2013,Mackay,Ship,Recreational,Port Limits,Mackay Marina ,Other (Lube Oil),3
23/10/2013,Gladstone,Ship,Commercial,Port Limits,Port of Bundaberg,Other (Hydraulic Oil),50
6/11/2013,Mackay,Ship,Recreational,Coastal Waters,"Abell Point Marina, Airlie Beach",Diesel,10
9/11/2013,Gladstone,Ship,Commercial,Port Limits,"Jetty at old slip way, Mary River",Diesel,40
11/11/2013,Gladstone,Unknown,N/A,Port Limits,"Between Flin RORO and small craft Anchorage, Gladstone",Diesel,Unknown
12/11/2013,Cairns,Ship,Commercial,Port Limits,HMAS Cairns Navy Base,Bilge,10
12/11/2013,Cairns,Ship,Commercial,Port Limits,"Tropical Reef Shipyards, Cairns",Diesel,2
13/11/2013,Gladstone,Ship,Fishing,Port Limits,"Entrance to Teebar Creek, Tin Can Bay",Diesel,Unknown
14/11/2013,Cairns,Ship,Fishing,Coastal Waters,"Dicksons Inlet, Port Douglas",Other (Gearbox oil),Unknown
15/11/2013,Cairns,Unknown,N/A,Port Limits,"Marlin Marina, Cairns",Diesel,10
21/11/2013,Cairns,Ship,Recreational,Coastal Waters,Between Cape Tribulation and Snapper Island,Diesel,Unknown
25/11/2013,Townsville,Ship,Recreational,Port Limits,"Nelly Bay Harbour, D Arm in Marina, Magnetic Island",Diesel,2
25/11/2013,Cairns,Unknown,N/A,Port Limits,"Smiths Creek, Trinity Inlet, Cairns",Sheen,Unknown
3/12/2013,Mackay,Ship,Fishing,Coastal Waters,"Mackay reef supplies wharf, Pioneer River",Diesel,300
5/12/2013,Townsville,Land,N/A,Port Limits,"Ross River, Townsville",HFO,100
9/12/2013,Mackay,Ship,Commercial,Coastal Waters,"Abell Point Marina, Airlie Beach",Bilge,5
10/12/2013,Brisbane,Unknown,N/A,Coastal Waters,"Cabbage Tree Creek, Brisbane",Diesel,Unknown
8/01/2014,Cairns,Land,N/A,Port Limits,"Endeavour River, Cooktown",Diesel,Unknown
9/01/2014,Gladstone,Ship,Unknown,Port Limits,Trawler pens in Tin Can Bay Marina,Bilge,Unknown
16/01/2014,Cairns,Unknown,N/A,Port Limits,"Endeavour River, Cooktown",Diesel,Unknown
20/01/2014,Gladstone,Unknown,N/A,Port Limits,"Mouth of the Calliope River, Gladstone",Sheen,Unknown
21/01/2014,Gladstone,Unknown,N/A,Port Limits,"Mouth of the Calliope River, Gladstone",Sheen,Unknown
22/01/2014,Townsville,Ship,Commercial,Port Limits,"Berth 1 and swing basin, Townsville",Other (Carbon Soot),Unknown
24/01/2014,Brisbane,Land,N/A,Port Limits,"Shell Tank Farm, Pinkenba, Brisbane",Other (Bitumen),Unknown
29/01/2014,Brisbane,Ship,Recreational,Coastal Waters,"Versace Marina, The Spit, Main Beach, Goldcoast",Diesel,2000
30/01/2014,Cairns,Ship,Unknown,Coastal Waters,"Cooya Beach boat ramp, Cairns",Diesel,Unknown
5/02/2014,Cairns,Ship,Fishing,Port Limits,"Fisherman's Base 2, Cairns",Bilge,10
14/02/2014,Cairns,Ship,Recreational,Port Limits,"F Finger, Marlin Marina, Cairns",Other,Unknown
18/02/2014,Cairns,Unknown,N/A,Port Limits,"Trinity Park Beach, Cairns",Other (Tar Balls),Unknown
19/02/2014,Cairns,Unknown,N/A,Port Limits,"Norship Slipway, Tingira St, Portsmith, Cairns",Sheen,Unknown
5/03/2014,Gladstone,Ship,Commercial,Port Limits,"Laird Point Boat Ramp, Gladstone",Diesel,20
8/03/2014,Cairns,Ship,Fishing,Port Limits,"Town Reach, Norman Creek, Karumba",Diesel,20
11/03/2014,Cairns,Land,N/A,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,Unknown
12/03/2014,Cairns,Unknown,N/A,Coastal Waters,"South Johnstone river near coronation St, Innisfale",Sheen,Unknown
14/03/2014,Cairns,Ship,Unknown,Coastal Waters,Port Douglas Marina,Bilge,Unknown
14/03/2014,Cairns,Unknown,N/A,Port Limits,Mourilyan Harbour,Sheen,Unknown
31/03/2014,Brisbane,Ship,Commercial,Coastal Waters,"Mulloka Canel East, Minyama",Other (Hydraulic Oil),Unknown
1/04/2014,Brisbane,Ship,Commercial,Coastal Waters,"Runaway Bay Marina, Gold Coast",Bilge,4
4/04/2014,Townsville,Unknown,N/A,Port Limits,"Berth 4, Port of Townsville",Other (Stock feed),30kg
6/04/2014,Townsville,Ship,Commercial,Port Limits,"Duck Pond, Townsville",Diesel,50
22/04/2014,Brisbane,Ship,Commercial,Port Limits,"Brisbane Marine Industrial Park, Brisbane",Diesel,20
22/04/2014,Cairns,Unknown,N/A,Coastal Waters,"Johnstone River, Commercial Wharf, Innisfail",Sheen,Unknown
23/04/2014,Cairns,Unknown,N/A,Port Limits,"Cairns fishing marina and wharf, Cairns",Sheen,Unknown
28/04/2014,Brisbane,Ship,Recreational,Coastal Waters,"Hope Island Resort Marina, Gold Coast",Sheen,1
4/05/2014,Cairns,Ship,Commercial,GBRMP,"Cowley Beach Defence Training Area, Cowley Beach",Other (Hydraulic Oil),250
21/05/2014,Cairns,Unknown,N/A,Port Limits,"Marlin Marina, Cairns",Bilge,Unknown
23/05/2014,Mackay,Ship,Fishing,Port Limits,"Mackay Marina, Commercial Fishing Wharf",Bilge,Unknown
30/05/2014,Gladstone,Unknown,N/A,Port Limits,"Transit Systems Berths, Gladstone Marina, Gladstone",Diesel,10
2/06/2014,Brisbane,Unknown,N/A,Port Limits,"Luggage Point dredge pump out moornig, Brisbane River",Other (Hydraulic Oil),10
6/06/2014,Cairns,Ship,Commercial,Port Limits,"Wharf number 8, Cairns Harbour",Other (Hydraulic Oil),30
10/06/2014,Gladstone,Land,N/A,Port Limits,"WICET Project site, Gladstone",Other (Hydraulic Oil),1
11/06/2014,Gladstone,Unknown,N/A,Coastal Waters,Lady Elliott Island,Other (Tar Balls),N/A
4/07/2014,Cairns,Ship,Commercial,Port Limits,"Main Wharf, Thursday Island",Diesel,1
8/07/2014,Cairns,Unknown,N/A,Port Limits,"Fishing Base 2, Cairns",Diesel,20
14/07/2014,Cairns,Ship,Commercial,Port Limits,"Wharf number 4, Trinity Wharf, Cairns",Other (Paint),4
16/07/2014,Gladstone,Ship,Fishing,Coastal Waters,Between Great Keppel Island and Barren Island,Diesel,Unknown
18/07/2014,Brisbane,Land,N/A,Port Limits,"Fisherman Islands Berth Number 3, Brisbane",Diesel,20
18/07/2014,Brisbane,Unknown,N/A,Coastal Waters,"Raby Bay, behind 38 Compass Court, Cleveland",Hydraulic Oil,100
18/07/2014,Gladstone,Ship,Commercial,Port Limits,"Curtis Ferry Services pontoon, Gladstone Marina",Diesel,150
22/07/2014,Cairns,Ship,Defence,Port Limits,"Cairns Naval Base, Cairns",Hydraulic Oil,10
1/08/2014,Townsville,Unknown,N/A,Port Limits,Opposite the Townsville Yacht Club in Ross Creek,Sheen,Unknown
16/08/2014,Bundaberg,Unknown,N/A,Port Limits,"Downstream of Tin Can Bay Marina, Tin Can Bay",Diesel,Unknown
21/08/2014,Brisbane,Unknown,N/A,Coastal Waters,"Entrance Toondah Harbour, Cleveland",Other (Emulsion),20
22/08/2014,Bundaberg,Unknown,N/A,Port Limits,"Tin Can Bay Marina, Tin Can Bay",Diesel,Unknown
31/08/2014,Cairns,Ship,Commercial,Port Limits,"Thursday Island Harbour, Port Kennedy, Torres Strait",Diesel,10
4/09/2014,Bundaberg,Ship,Recreational,Port Limits,"Tin Can Bay Marina, Tin can Bay",Diesel,Unknown
9/09/2014,Gladstone,Land,N/A,Port Limits,"Wiggins Island Coal Export Terminal (WICKET), Gladstone",Other (Panolin),1
15/09/2014,Mackay,Ship,Commercial,Port Limits,"Cruise Whitsunday Fuel Dock, Port of Airlie, Airlie Beach",Diesel,1
19/09/2014,Gladstone,Ship,Commercial,Coastal Waters,"Heron Island, Great Barrier Reef",Diesel,1
21/09/2014,Cairns,Ship,Commercial,Coastal Waters,"Badu Island Barge Ramp, Torres Strait",Diesel,1
24/09/2014,Cairns,Ship,Commercial,Port Limits,"Rebel Marine Wharf, Thursday Island, Torres Strait",Diesel,1
26/09/2014,Bundaberg,Ship,Recreational,Port Limits,"Susan River, between Maryborough and Hervey Bay",Hydraulic Oil,25
15/11/2014,Cairns,Ship,Recreational,Port Limits,"Half Moon Bay Marina, Yorkeys Knob, Cairns",Diesel,Unknown
15/11/2014,Mackay,Ship,Recreational,Coastal Waters,"Whitehaven Beach, 1nm south of Hill Inlet",Bilge,Unknown
21/11/2014,Cairns,Unknown,N/A,Port Limits,"H Finger, Marlin Marina, Cairns",Diesel,Unknown
23/11/2014,Brisbane,Ship,Recreational,Coastal Waters,"Peel Island, South West Rocks, Moreton Bay",Diesel,Unknown
28/11/2014,Gladstone,Ship,Commercial,Port Limits,"Fishermans Landing, Gladstone Harbour, Gladstone",Grease ,100
7/01/2015,Cairns,Ship,Recreational,Port Limits,"150m from Horn Island Passenger Wharf, Torres Strait",Diesel,Unknown
8/01/2015,Brisbane,Ship,Recreational,Coastal Waters,"Hope Island Resort Marina, Hope Island, Gold Coast",Diesel,5
24/01/2015,Gladstone,Unknown,N/A,GBRMP,Capricorn Channel,Unknown,Unknown
25/02/2015,Cairns,Land,N/A,Port Limits,"Commercial Fish base number 2, Trinity Inlet, Cairns",Sheen,Unknown
11/03/2015,Brisbane,Unknown,N/A,Coastal Waters,"Rivage Royale Marina, Southport",Sheen,Unknown
14/03/2015,Cairns,Ship,Commercial,Port Limits,"Main wharf, Thursday Island, Port Kennedy, Torres Strait",Diesel,2
15/03/2015,Cairns,Land,N/A,Port Limits,"Engineers Wharf, Port Kennedy, Thursday Island, Torres Strait",Diesel,Unknown
27/03/2015,Cairns,Ship,Fishing,Port Limits,"Norship BR1, Smith's Creek, Cairns",Diesel,Unknown
27/03/2015,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Kangaroo Point, Brisbane",Sheen,Unknown
28/03/2015,Mackay,Unknown,N/A,Port Limits,"Hay Point Berth Number 1, Hay Point",Sheen,Unknown
30/03/2015,Cairns,Unknown,N/A,Port Limits,"Commercial Fishing Base 1, Smiths Creek, Cairns",Diesel,Unknown
3/04/2015,Brisbane,Ship,Recreational,Coastal Waters,"Marine Stadium, Broadwater, Gold Coast",Diesel,Unknown
24/04/2015,Townsville,Ship,Commercial,Port Limits,"Ross River, Townsville",Diesel,Unknown
