Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
4/10/2003,Mackay,Ship,Commercial,Coastal,Shute Harbour,Sheen,Unknown
6/10/2003,Cairns,Ship,Unknown,Port,"Marlin Marina, Cairns",Diesel,Unknown
7/10/2003,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Sheen,Unknown
10/10/2003,Brisbane,Ship,Unknown,Port,"Scarbrogh Harbour, Brisbane",Sheen,Unknown
13/10/2003,Cairns,Ship,Unknown,Coastal,Port Douglas,Diesel,Unknown
16/10/2003,Cairns,Ship,Unknown,Coastal,Port Douglas,Bilge,Unknown
17/10/2003,Cairns,Ship,Trading,Coastal,"Flinders Group, Princess Charlote Bay FNQ",Fuel Oil,Unknown
24/10/2003,Brisbane,Ship,Defence,Port,"Maritime #1 Wharf, Brisbane River",Diesel,Unknown
28/10/2003,Brisbane,Ship,Oil Tanker,Port,"BP Refinery Wharf, Brisbane River",Crude,Unknown
29/10/2003,Mackay,Ship,Recreational,Coastal,Shute Harbour,Sheen,Unknown
30/10/2003,Cairns,Ship,Trading,Port,"Lorim Point, Weipa",Hydraulic,Unknown
8/11/2003,Brisbane,Ship,Commercial,Port,"Spitfire Channel, Moreton Bay",Hydraulic,Unknown
14/11/2003,Cairns,Ship,Recreational,Coastal,Port Douglas,Diesel,Unknown
16/11/2003,Cairns,Ship,Trading,Coastal,"Chillie Beach, Cape Weymouth, FNQ",Bilge,Unknown
18/11/2003,Brisbane,Ship,Oil Tanker,Port,"STS1 Anchorage, Moreton Bay",Bilge,Unknown
20/11/2003,Townsville,Land,N/A,Port,"Shell Terminal, Berth 1, Townsville",Fuel Oil,Unknown
23/11/2003,Brisbane,Unknown,Unknown,Coastal,"Mooloola River, Sunshine Coast",Sheen,Unknown
4/12/2003,Mackay,Ship,Recreational,Port,"Mackay Marina, Mackay",Diesel,Unknown
5/12/2003,Brisbane,Land,N/A,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
7/12/2003,Brisbane,Ship,Trading,Port,Fishermans Islands Brisbane River,Hydraulic,Unknown
7/12/2003,Gladstone,Ship,Fishing,Offshore,"Hoskyn Island, Capricorn Bunker Group",Diesel,Unknown
9/12/2003,Cairns,Unknown,Unknown,Port,"Smiths Creek, Cairns",Sheen,Unknown
11/12/2003,Cairns,Unknown,Unknown,Port,"Firewood Creek, Cairns",Sheen,Unknown
12/12/2003,Cairns,Unknown,Unknown,Port,Thursday Island,Sheen,Unknown
17/12/2003,Brisbane,Ship,Oil Tanker,Port,"Brisbane Roads Anchorage, Moreton Bay",Hydraulic,Unknown
17/12/2003,Cairns,Ship,Fishing,Port,Evans Landing Weipa,Diesel,Unknown
17/12/2003,Cairns,Land,N/A,Port,Thursday Island,Sheen,Unknown
18/12/2003,Cairns,Land,N/A,Port,Horn Island Cargo Facility,Diesel,Unknown
22/12/2003,Mackay,Ship,Commercial,Coastal,"Mackay Marina, Mackay",Bilge,Unknown
26/12/2003,Brisbane,Ship,Commercial,Port,"Caincross Fitting out Wharf, Brisbane River",Hydraulic,Unknown
26/12/2003,Brisbane,Ship,Recreational,Coastal,"Caloundra Head, Sunshine Coast",Diesel,Unknown
27/12/2003,Cairns,Ship,Recreational,Coastal,"Half Moon Bay Marina, Cairns",Diesel,Unknown
