Data Source,World Development Indicators,,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023
Sri Lanka,LKA,Total fisheries production (metric tons),ER.FSH.PROD.MT,517399.6,501656.63,510201.19,505801.79,424605.7,423428.76,391702.99,
Lower middle income,LMC,Total fisheries production (metric tons),ER.FSH.PROD.MT,40054539.54,42431635.31,44000374.38,45340739.72,45406111.84,46634442.12,47550609.59,
Low & middle income,LMY,Total fisheries production (metric tons),ER.FSH.PROD.MT,165264172.34,170511593.2,176854327.42,177522049.2,179028668.65,183585408.68,185248295.03,
Lesotho,LSO,Total fisheries production (metric tons),ER.FSH.PROD.MT,1102,1853,2552.46,2607,2668,1576.3,1915.26,
Late-demographic dividend,LTE,Total fisheries production (metric tons),ER.FSH.PROD.MT,104550249.09,107532005.1,109713499.03,111768024.31,113453968.37,116055243.27,118849458.66,
Lithuania,LTU,Total fisheries production (metric tons),ER.FSH.PROD.MT,111337.74,93519.07,78763.68,106434.56,95468.76,101287.83,111781.16,
Luxembourg,LUX,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Latvia,LVA,Total fisheries production (metric tons),ER.FSH.PROD.MT,115066.09,70219.54,73973.66,71993.64,65706.45,62559.51,62377.91,
"Macao SAR, China",MAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
St. Martin (French part),MAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Morocco,MAR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1473464.52,1403400.81,1387814.9,1477511.76,1399150.69,1434205.43,1592954.21,
Monaco,MCO,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Moldova,MDA,Total fisheries production (metric tons),ER.FSH.PROD.MT,12141.4,12213,12660,12730,12650,12905,,
Madagascar,MDG,Total fisheries production (metric tons),ER.FSH.PROD.MT,168336.16,189951.38,142361.72,128287.67,126108.29,130738.1,152317.69,
Maldives,MDV,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Middle East & North Africa,MEA,Total fisheries production (metric tons),ER.FSH.PROD.MT,5300705.97,5486719.14,5959355.71,6173649.3,6243193.04,6449644.69,5199977.94,
Mexico,MEX,Total fisheries production (metric tons),ER.FSH.PROD.MT,1745794.79,1880687.83,1946512.63,1874459.54,1940137.58,1912067.74,1972994.33,
Marshall Islands,MHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,65219,70302,78354.37,101556.23,88199.58,95821.19,91642.64,
Middle income,MIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,162079266.25,167222080.85,173464884.58,173958602.92,175465815.08,179869133.61,182705298.28,
North Macedonia,MKD,Total fisheries production (metric tons),ER.FSH.PROD.MT,1108,1595.4,1499.3,2355,2106.79,2174.51,2261.2,
Mali,MLI,Total fisheries production (metric tons),ER.FSH.PROD.MT,106680,110135,95713,116347,125376,113884,119195.91,
Malta,MLT,Total fisheries production (metric tons),ER.FSH.PROD.MT,17218.19,17884.32,22023.22,16315.55,21932.76,18913.13,20859.75,
Myanmar,MMR,Total fisheries production (metric tons),ER.FSH.PROD.MT,3090004.34,3204132.01,3168439.45,3033318.64,3122143,2833096.69,3061808,
Middle East & North Africa (excluding high income),MNA,Total fisheries production (metric tons),ER.FSH.PROD.MT,4754996.81,4861607.02,5122684.04,5302759.14,5141176.64,5199773.22,4117477.65,
Montenegro,MNE,Total fisheries production (metric tons),ER.FSH.PROD.MT,2524,2101.7,2389.8,2350,1701.45,1666,1942,
Mongolia,MNG,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Northern Mariana Islands,MNP,Total fisheries production (metric tons),ER.FSH.PROD.MT,140.84,160.58,156.29,139.27,143.37,230.21,,
Mozambique,MOZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,300914.88,331356.79,352052.16,403590.35,391089.02,413390.04,461913.54,
Mauritania,MRT,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,
Mauritius,MUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,19236.69,26240.36,31411.08,37327.49,29287.69,32344.82,34829.49,
Malawi,MWI,Total fisheries production (metric tons),ER.FSH.PROD.MT,160498.39,211671.8,230863,163184,180508.22,180508,194013.36,
Malaysia,MYS,Total fisheries production (metric tons),ER.FSH.PROD.MT,1992258.1,1901885.53,1855008.87,1877376.18,1791561.76,1755709.06,1892540.81,
North America,NAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,6376961.47,6511323.16,6313483.04,6361214.51,5652657.58,5713894.29,5612299.77,
Namibia,NAM,Total fisheries production (metric tons),ER.FSH.PROD.MT,516182.3,501928.91,490536.69,467429.12,329990.85,411170.46,416008.9,
New Caledonia,NCL,Total fisheries production (metric tons),ER.FSH.PROD.MT,5473.25,5152.5,4746.07,5229.11,4804.48,4741.47,5663.91,
Niger,NER,Total fisheries production (metric tons),ER.FSH.PROD.MT,34892,25545,31392,40409.65,46649,47672,48170,
Nigeria,NGA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1041498,1212474.97,1169478,1114556.25,1044812.42,1080855,1043230,
Nicaragua,NIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,66204.99,75881,84027.39,80833.29,72955.54,86280.44,85300.82,
Netherlands,NLD,Total fisheries production (metric tons),ER.FSH.PROD.MT,432284,551818,465199,366791.8,347466.11,340231,338052,
Norway,NOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,3527509.72,3867391.27,4020185.1,3931628.23,4115779.83,4244846.27,4262103.08,
Nepal,NPL,Total fisheries production (metric tons),ER.FSH.PROD.MT,70543,77157.1,86864,92252,97822,105291,108385,
Nauru,NRU,Total fisheries production (metric tons),ER.FSH.PROD.MT,270.3,270.3,9155.5,33525.3,92388.5,120409.5,106750.5,
New Zealand,NZL,Total fisheries production (metric tons),ER.FSH.PROD.MT,533957.16,547673.14,512559.8,527209.86,483546.03,460346.1,452469.57,
