Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Europe & Central Asia (excluding high income),ECA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.64655391473431,2.64655391473431,2.64682507242863,8.78288693479826,8.43445874217953,,
Europe & Central Asia,ECS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5.55279397323292,5.48184724593579,5.73727797645965,10.8175669589982,10.7264719516594,,
Ecuador,ECU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,13.3461718314051,13.3461718314051,13.34592,13.34592,13.34592247,19.1484432,
"Egypt, Arab Rep.",EGY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.95148884185994,4.95148884185994,4.951488,4.951488,4.951487541,4.9514875,
Euro area,EMU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,23.4369239216171,22.8347628683601,25.2916002317012,24.9784370117602,24.8771653460058,,
Eritrea,ERI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,
Spain,ESP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.37411263885255,8.37411263885255,12.68843,12.7587,12.75744438,12.7854223,
Estonia,EST,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,18.6204423838105,18.6204423838105,18.63492,18.77884,18.77870941,18.7789497,
Ethiopia,ETH,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
European Union,EUU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,21.4221211171249,21.0121590207669,22.676751112217,22.4841026902141,22.4685523549019,,
Fragile and conflict affected situations,FCS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Finland,FIN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,10.5099633551937,10.5099633551937,12.11062,11.98687,11.98700523,11.9924765,
Fiji,FJI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.924879431405508,0.924879431405508,0.92488,0.92488,0.924879611,0.9248796,
France,FRA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,45.0457953940979,45.0457953940979,48.92877,50.35653,49.82694626,49.8158798,
Faroe Islands,FRO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0108312493723335,0.0108312493723335,0.010831,0.010831,0.010831232,0.0108312,
"Micronesia, Fed. Sts.",FSM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0157723799070518,0.0157723799070518,0.015772,0.015772,0.01577238,0.0157724,
Gabon,GAB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,28.8271766191915,28.8271766191915,28.82714,28.82714,28.82713699,28.827137,
United Kingdom,GBR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,28.8733055538075,28.8733055538075,29.16274,44.20283,44.20282745,44.0570869,
Georgia,GEO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.667756100327337,0.667756100327337,0.667756,0.667756,0.667755842,0.6677558,
